
# Efinity Pinout Report
# Version: 2019.3.272
# Date: 2020-02-04 11:33

# Copyright (C) 2017 - 2019 Efinix Inc. All rights reserved.

# Device: T120F484
# Package status: preliminary
# Project: DdrControllerDebug
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Standard,Pull Type,Function
V5,CDONE,,Output,1A,3.3 V LVTTL / LVCMOS,,Configuration
V4,CRESET_N,,Input,1A,3.3 V LVTTL / LVCMOS,,Configuration
M18,DDR_A[0],,,3E,,,
L17,DDR_A[1],,,3E,,,
N17,DDR_A[2],,,3E,,,
P20,DDR_A[3],,,3E,,,
N19,DDR_A[4],,,3E,,,
T19,DDR_A[5],,,3E,,,
M20,DDR_A[6],,,3E,,,
P17,DDR_A[7],,,3E,,,
P19,DDR_A[8],,,3E,,,
R20,DDR_A[9],,,3E,,,
P22,DDR_A[10],,,3E,,,
R22,DDR_A[11],,,3E,,,
T20,DDR_A[12],,,3E,,,
T21,DDR_A[13],,,3E,,,
R18,DDR_A[14],,,3E,,,
U17,DDR_A[15],,,3E,,,
V16,DDR_BA[0],,,3E,,,
T17,DDR_BA[1],,,3E,,,
W16,DDR_BA[2],,,3E,,,
M16,DDR_CAS_N,,,3E,,,
N21,DDR_CK,,,3E,,,
P21,DDR_CK_N,,,3E,,,
L16,DDR_CKE,,,3E,,,
P16,DDR_CS_N,,,3E,,,
K19,DDR_DM[0],,,3E,,,
G22,DDR_DM[1],,,3E,,,
V20,DDR_DM[2],,,3E,,,
Y19,DDR_DM[3],,,3E,,,
K21,DDR_DQ[0],,,3E,,,
M22,DDR_DQ[1],,,3E,,,
K20,DDR_DQ[2],,,3E,,,
L20,DDR_DQ[3],,,3E,,,
L19,DDR_DQ[4],,,3E,,,
J18,DDR_DQ[5],,,3E,,,
L18,DDR_DQ[6],,,3E,,,
H18,DDR_DQ[7],,,3E,,,
J22,DDR_DQ[8],,,3E,,,
K22,DDR_DQ[9],,,3E,,,
H20,DDR_DQ[10],,,3E,,,
H19,DDR_DQ[11],,,3E,,,
G19,DDR_DQ[12],,,3E,,,
H21,DDR_DQ[13],,,3E,,,
F20,DDR_DQ[14],,,3E,,,
F18,DDR_DQ[15],,,3E,,,
U19,DDR_DQ[16],,,3E,,,
T22,DDR_DQ[17],,,3E,,,
W21,DDR_DQ[18],,,3E,,,
U21,DDR_DQ[19],,,3E,,,
U18,DDR_DQ[20],,,3E,,,
W20,DDR_DQ[21],,,3E,,,
W19,DDR_DQ[22],,,3E,,,
V18,DDR_DQ[23],,,3E,,,
Y21,DDR_DQ[24],,,3E,,,
Y22,DDR_DQ[25],,,3E,,,
AA20,DDR_DQ[26],,,3E,,,
AA22,DDR_DQ[27],,,3E,,,
AB19,DDR_DQ[28],,,3E,,,
Y18,DDR_DQ[29],,,3E,,,
AB18,DDR_DQ[30],,,3E,,,
AA18,DDR_DQ[31],,,3E,,,
L21,DDR_DQS[0],,,3E,,,
G20,DDR_DQS[1],,,3E,,,
V22,DDR_DQS[2],,,3E,,,
AB21,DDR_DQS[3],,,3E,,,
L22,DDR_DQS_N[0],,,3E,,,
G21,DDR_DQS_N[1],,,3E,,,
W22,DDR_DQS_N[2],,,3E,,,
AB20,DDR_DQS_N[3],,,3E,,,
W17,DDR_ODT,,,3E,,,
R16,DDR_RAS_N,,,3E,,,
Y17,DDR_RST_N,,,3E,,,
K17,DDR_VREF,,,3E,,,
U16,DDR_WE_N,,,3E,,,
P18,DDR_ZQ,,,3E,,,
A1,GND,,Power,,,,Ground
A22,GND,,Power,,,,Ground
AB1,GND,,Power,,,,Ground
AB22,GND,,Power,,,,Ground
B4,GND,,Power,,,,Ground
B12,GND,,Power,,,,Ground
D4,GND,,Power,,,,Ground
D7,GND,,Power,,,,Ground
D13,GND,,Power,,,,Ground
D16,GND,,Power,,,,Ground
E18,GND,,Power,,,,Ground
E20,GND,,Power,,,,Ground
F22,GND,,Power,,,,Ground
H2,GND,,Power,,,,Ground
H5,GND,,Power,,,,Ground
H15,GND,,Power,,,,Ground
H17,GND,,Power,,,,Ground
H22,GND,,Power,,,,Ground
J10,GND,,Power,,,,Ground
J12,GND,,Power,,,,Ground
J14,GND,,Power,,,,Ground
J20,GND,,Power,,,,Ground
K9,GND,,Power,,,,Ground
K11,GND,,Power,,,,Ground
K13,GND,,Power,,,,Ground
K16,GND,,Power,,,,Ground
K18,GND,,Power,,,,Ground
L8,GND,,Power,,,,Ground
L10,GND,,Power,,,,Ground
L12,GND,,Power,,,,Ground
L14,GND,,Power,,,,Ground
M2,GND,,Power,,,,Ground
M5,GND,,Power,,,,Ground
M9,GND,,Power,,,,Ground
M11,GND,,Power,,,,Ground
M13,GND,,Power,,,,Ground
N8,GND,,Power,,,,Ground
N10,GND,,Power,,,,Ground
N12,GND,,Power,,,,Ground
N14,GND,,Power,,,,Ground
N16,GND,,Power,,,,Ground
N18,GND,,Power,,,,Ground
N20,GND,,Power,,,,Ground
N22,GND,,Power,,,,Ground
P9,GND,,Power,,,,Ground
P11,GND,,Power,,,,Ground
P13,GND,,Power,,,,Ground
T2,GND,,Power,,,,Ground
T5,GND,,Power,,,,Ground
T7,GND,,Power,,,,Ground
T16,GND,,Power,,,,Ground
T18,GND,,Power,,,,Ground
U20,GND,,Power,,,,Ground
U22,GND,,Power,,,,Ground
W13,GND,,Power,,,,Ground
W18,GND,,Power,,,,Ground
Y2,GND,,Power,,,,Ground
Y5,GND,,Power,,,,Ground
Y8,GND,,Power,,,,Ground
Y11,GND,,Power,,,,Ground
Y15,GND,,Power,,,,Ground
Y20,GND,,Power,,,,Ground
AA11,GPIOB_RXN00,,,4C,3.3 V LVTTL / LVCMOS,,User IO
R10,GPIOB_RXN01,,,4C,3.3 V LVTTL / LVCMOS,,User IO
V11,GPIOB_RXN03,,,4C,3.3 V LVTTL / LVCMOS,,User IO
AB12,GPIOB_RXN05,,,4C,3.3 V LVTTL / LVCMOS,,User IO
U12,GPIOB_RXN06,,,4C,3.3 V LVTTL / LVCMOS,,User IO
W12,GPIOB_RXN08_EXTFB0,,,4C,3.3 V LVTTL / LVCMOS,,User IO/LVDS_EXTFB
T12,GPIOB_RXN09_CLKN0,,,4C,3.3 V LVTTL / LVCMOS,,User IO/LVDS_REFCLK
AA13,GPIOB_RXN10,,,4B,3.3 V LVTTL / LVCMOS,,User IO
U13,GPIOB_RXN12,,,4B,3.3 V LVTTL / LVCMOS,,User IO
AB14,GPIOB_RXN14,,,4B,3.3 V LVTTL / LVCMOS,,User IO
R13,GPIOB_RXN15,,,4B,3.3 V LVTTL / LVCMOS,,User IO
Y13,GPIOB_RXN16,,,4B,3.3 V LVTTL / LVCMOS,,User IO
U14,GPIOB_RXN18_EXTFB1,,,4B,3.3 V LVTTL / LVCMOS,,User IO/LVDS_EXTFB
W14,GPIOB_RXN19_CLKN1,,,4B,3.3 V LVTTL / LVCMOS,,User IO/LVDS_REFCLK
AA15,GPIOB_RXN20,,,4A,3.3 V LVTTL / LVCMOS,,User IO
R15,GPIOB_RXN21,,,4A,3.3 V LVTTL / LVCMOS,,User IO
AB17,GPIOB_RXN28_EXTFB2,,,4A,3.3 V LVTTL / LVCMOS,,User IO/LVDS_EXTFB
W15,GPIOB_RXN29_CLKN2,,,4A,3.3 V LVTTL / LVCMOS,,User IO/LVDS_REFCLK
AB11,GPIOB_RXP00,,,4C,3.3 V LVTTL / LVCMOS,,User IO
T10,GPIOB_RXP01,,,4C,3.3 V LVTTL / LVCMOS,,User IO
W11,GPIOB_RXP03,,,4C,3.3 V LVTTL / LVCMOS,,User IO
AA12,GPIOB_RXP05,,,4C,3.3 V LVTTL / LVCMOS,,User IO
U11,GPIOB_RXP06,,,4C,3.3 V LVTTL / LVCMOS,,User IO
V12,GPIOB_RXP08_EXTFB0,,,4C,3.3 V LVTTL / LVCMOS,,User IO/LVDS_EXTFB
R12,GPIOB_RXP09_CLKP0,,,4C,3.3 V LVTTL / LVCMOS,,User IO/LVDS_REFCLK
AB13,GPIOB_RXP10,,,4B,3.3 V LVTTL / LVCMOS,,User IO
T13,GPIOB_RXP12,,,4B,3.3 V LVTTL / LVCMOS,,User IO
AB15,GPIOB_RXP14,,,4B,3.3 V LVTTL / LVCMOS,,User IO
R14,GPIOB_RXP15,,,4B,3.3 V LVTTL / LVCMOS,,User IO
Y14,GPIOB_RXP16,,,4B,3.3 V LVTTL / LVCMOS,,User IO
T14,GPIOB_RXP18_EXTFB1,,,4B,3.3 V LVTTL / LVCMOS,,User IO/LVDS_EXTFB
V14,GPIOB_RXP19_CLKP1,,,4B,3.3 V LVTTL / LVCMOS,,User IO/LVDS_REFCLK
AA16,GPIOB_RXP20,,,4A,3.3 V LVTTL / LVCMOS,,User IO
T15,GPIOB_RXP21,,,4A,3.3 V LVTTL / LVCMOS,,User IO
AB16,GPIOB_RXP28_EXTFB2,,,4A,3.3 V LVTTL / LVCMOS,,User IO/LVDS_EXTFB
V15,GPIOB_RXP29_CLKP2,,,4A,3.3 V LVTTL / LVCMOS,,User IO/LVDS_REFCLK
W4,GPIOB_TXN03_CDI30,,,4F,3.3 V LVTTL / LVCMOS,,User IO
W3,GPIOB_TXN04_CDI28,,,4F,3.3 V LVTTL / LVCMOS,,User IO
Y1,GPIOB_TXN05_CDI26,,,4F,3.3 V LVTTL / LVCMOS,,User IO
AA2,GPIOB_TXN06_CDI24,,,4F,3.3 V LVTTL / LVCMOS,,User IO
AB4,GPIOB_TXN07_CDI22,,,4F,3.3 V LVTTL / LVCMOS,,User IO
AB5,GPIOB_TXN08_CDI20,,,4F,3.3 V LVTTL / LVCMOS,,User IO
Y7,GPIOB_TXN13_CDI18,,,4E,3.3 V LVTTL / LVCMOS,,User IO
AA6,GPIOB_TXN14_CDI16,,,4E,3.3 V LVTTL / LVCMOS,,User IO
U7,GPIOB_TXN15_CDI14,,,4E,3.3 V LVTTL / LVCMOS,,User IO
AA7,GPIOB_TXN16_CDI12,,,4E,3.3 V LVTTL / LVCMOS,,User IO
V8,GPIOB_TXN17_CDI10,,,4E,3.3 V LVTTL / LVCMOS,,User IO
U8,GPIOB_TXN18_CDI8,,,4E,3.3 V LVTTL / LVCMOS,,User IO
W9,GPIOB_TXN19,,,4E,3.3 V LVTTL / LVCMOS,,User IO
AA8,GPIOB_TXN22,,,4D,3.3 V LVTTL / LVCMOS,,User IO
U10,GPIOB_TXN23,,,4D,3.3 V LVTTL / LVCMOS,,User IO
AA9,GPIOB_TXN24,,,4D,3.3 V LVTTL / LVCMOS,,User IO
V10,GPIOB_TXN25,,,4D,3.3 V LVTTL / LVCMOS,,User IO
AA10,GPIOB_TXN26,,,4D,3.3 V LVTTL / LVCMOS,,User IO
Y4,GPIOB_TXP03_CDI31,,,4F,3.3 V LVTTL / LVCMOS,,User IO
W2,GPIOB_TXP04_CDI29,,,4F,3.3 V LVTTL / LVCMOS,,User IO
AA1,GPIOB_TXP05_CDI27,,,4F,3.3 V LVTTL / LVCMOS,,User IO
AB2,GPIOB_TXP06_CDI25,,,4F,3.3 V LVTTL / LVCMOS,,User IO
AB3,GPIOB_TXP07_CDI23,,,4F,3.3 V LVTTL / LVCMOS,,User IO
AA5,GPIOB_TXP08_CDI21,,,4F,3.3 V LVTTL / LVCMOS,,User IO
Y6,GPIOB_TXP13_CDI19,,,4E,3.3 V LVTTL / LVCMOS,,User IO
AB6,GPIOB_TXP14_CDI17,,,4E,3.3 V LVTTL / LVCMOS,,User IO
V7,GPIOB_TXP15_CDI15,,,4E,3.3 V LVTTL / LVCMOS,,User IO
AB7,GPIOB_TXP16_CDI13,,,4E,3.3 V LVTTL / LVCMOS,,User IO
W8,GPIOB_TXP17_CDI11,,,4E,3.3 V LVTTL / LVCMOS,,User IO
T8,GPIOB_TXP18_CDI9,,,4E,3.3 V LVTTL / LVCMOS,,User IO
V9,GPIOB_TXP19,,,4E,3.3 V LVTTL / LVCMOS,,User IO
AB8,GPIOB_TXP22,,,4D,3.3 V LVTTL / LVCMOS,,User IO
U9,GPIOB_TXP23,,,4D,3.3 V LVTTL / LVCMOS,,User IO
AB9,GPIOB_TXP24,,,4D,3.3 V LVTTL / LVCMOS,,User IO
